Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[P0247],"Montreal Basilique Notre Dame, , Quebec, Canada","Montreal Basilique Notre Dame, , Quebec, Canada",Unknown,,,,,
[P0248],"Mont-Royal, Montreal Region, Quebec, Canada","Mont-Royal, Montreal Region, Quebec, Canada",Unknown,,,,,
[P0249],"St-Pierre de Pomponne, archev. Paris, Ile-de-France (ar. Meaux, Seine-et-Marne), France","St-Pierre de Pomponne, archev. Paris, Ile-de-France (ar. Meaux, Seine-et-Marne), France",Unknown,,,,,
[P0250],"St. Pierre de Pomponne, Meaux, Paris, Ile-de-France, France","St. Pierre de Pomponne, Meaux, Paris, Ile-de-France, France",Unknown,,,,,
[P0251],"St Martin, Orne, Perche, France","St Martin, Orne, Perche, France",Unknown,,,,,
[P0252],"Montréal, Quebec,  Canada","Montréal, Quebec,  Canada",Unknown,,,,,
[P0253],"St Laurent, Jacques Cartier, Quebec, Canada","St Laurent, Jacques Cartier, Quebec, Canada",Unknown,,,,,
[P0254],"Montréal, Montreal (Westmount-St Henri), Quebec, Canada","Montréal, Montreal (Westmount-St Henri), Quebec, Canada",Unknown,,,,,
[P0255],"Saint-Henri, Québec, Canada","Saint-Henri, Québec, Canada",Unknown,,,,,
[P0256],St-Laurent,St-Laurent,Unknown,,,,,
[P0257],"St-Laurent (Montréal), Québec, Canada","St-Laurent (Montréal), Québec, Canada",Unknown,,,,,
[P0258],"Ottawa,Carleton, Ontario, Canada","Ottawa,Carleton, Ontario, Canada",Unknown,,,,,
[P0259],"Carleton, Ontario, Canada","Carleton, Ontario, Canada",Unknown,,,,,
[P0260],"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",Unknown,,,,,
[P0261],Lacolle,Lacolle,Unknown,,,,,
[P0262],Ville Mercier,Ville Mercier,Unknown,,,,,
[P0263],"La Prairie, Québec, Canada","La Prairie, Québec, Canada",Unknown,,,,,
[P0264],"Montreal, Montréal (Urban Agglomeration), Quebec, Canada","Montreal, Montréal (Urban Agglomeration), Quebec, Canada",Unknown,,,,,
[P0265],"Montréal (St-Henri), Québec","Montréal (St-Henri), Québec",Unknown,,,,,
[P0266],"St Hubert, St Thomas de Villeneuve, Montreal, Quebec, Canada","St Hubert, St Thomas de Villeneuve, Montreal, Quebec, Canada",Unknown,,,,,
[P0267],"Foulsham, Norfolk, England","Foulsham, Norfolk, England",Unknown,,,,,
[P0268],"Montreal, Montreal (St Denis), Quebec, Canada","Montreal, Montreal (St Denis), Quebec, Canada",Unknown,,,,,
[P0269],"East Hawkesbury, Prescott and Russell United Counties, Ontario, Canada","East Hawkesbury, Prescott and Russell United Counties, Ontario, Canada",Unknown,,,,,
[P0270],"Ontario, Canada","Ontario, Canada",Unknown,,,,,
[P0271],"East Hawkesbury Township, Prescott, Ontario, Canada","East Hawkesbury Township, Prescott, Ontario, Canada",Unknown,,,,,
[P0272],"Ottawa, Ottawa, Ontario, Canada","Ottawa, Ottawa, Ontario, Canada",Unknown,,,,,
[P0273],"Ottawa, Ontario","Ottawa, Ontario",Unknown,,,,,
[P0274],"Hawksbury, Prescott, Ontario, Canada","Hawksbury, Prescott, Ontario, Canada",Unknown,,,,,
[P0275],"St Eugene, Ontario","St Eugene, Ontario",Unknown,,,,,
[P0276],"Montréal, Québec","Montréal, Québec",Unknown,,,,,
[P0277],"Hemmingford, Québec, Canada","Hemmingford, Québec, Canada",Unknown,,,,,
[P0278],"Hemmingford (St-Romain), Québec","Hemmingford (St-Romain), Québec",Unknown,,,,,
[P0279],"St-Romain, Hemmingford, Québec","St-Romain, Hemmingford, Québec",Unknown,,,,,
[P0280],"Nanaimo, British Columbia","Nanaimo, British Columbia",Unknown,,,,,
[P0281],"Châteauguay, Roussillon, Quebec, Canada","Châteauguay, Roussillon, Quebec, Canada",Unknown,,,,,
[P0282],"sainte-clotilde, Montréal (Urban Agglomeration), Québec, Canada","sainte-clotilde, Montréal (Urban Agglomeration), Québec, Canada",Unknown,,,,,
[P0283],"New York, New York, USA","New York, New York, USA",Unknown,,,,,
[P0284],"Liverpool, England","Liverpool, England",Unknown,,,,,
[P0285],Outremont,Outremont,Unknown,,,,,
[P0286],"St John, New Brunswick, Canada","St John, New Brunswick, Canada",Unknown,,,,,
[P0287],"Le Havre, France","Le Havre, France",Unknown,,,,,
[P0288],"Bonaventure, Québec, Canada","Bonaventure, Québec, Canada",Unknown,,,,,
[P0289],Bonnaventure,Bonnaventure,Unknown,,,,,
[P0290],"Bonaventure, Quebec","Bonaventure, Quebec",Unknown,,,,,
[P0291],Sault au Récollet,Sault au Récollet,Unknown,,,,,
[P0292],"Hemmingford, Québec","Hemmingford, Québec",Unknown,,,,,
[P0293],"Hemmingford, Les Jardins-de-Napierville, Quebec, Canada","Hemmingford, Les Jardins-de-Napierville, Quebec, Canada",Unknown,,,,,
[P0294],"St-Philippe, Québec, Canada","St-Philippe, Québec, Canada",Unknown,,,,,
[P0295],"Rivière-Au-Renard, Québec","Rivière-Au-Renard, Québec",Unknown,,,,,
[P0296],"Rivière-la-Madeleine, Québec","Rivière-la-Madeleine, Québec",Unknown,,,,,
[P0297],"La Baie, 2494040, , Saguenay - Lac-Saint-Jean, Canada,","La Baie, 2494040, , Saguenay - Lac-Saint-Jean, Canada,",Unknown,,,,,
[P0298],"La Visitation de la Bienheureuse Vierge Marie, Sault au Recollet, Montreal, Quebec, Canada","La Visitation de la Bienheureuse Vierge Marie, Sault au Recollet, Montreal, Quebec, Canada",Unknown,,,,,
[P0299],"St Joseph, Montreal, Quebec, Canada","St Joseph, Montreal, Quebec, Canada",Unknown,,,,,
[P0300],"Igé, Orne, Basse-Normandie, France","Igé, Orne, Basse-Normandie, France",Unknown,,,,,
[P0301],"Québec, Québec, Canada","Québec, Québec, Canada",Unknown,,,,,
[P0302],"Quebec City, Quebec (Urban Agglomeration), Quebec, Canada","Quebec City, Quebec (Urban Agglomeration), Quebec, Canada",Unknown,,,,,
[P0303],"Trunch,Norfolk,England","Trunch,Norfolk,England",Unknown,,,,,
[P0304],"Restigouche, Québec, Canada","Restigouche, Québec, Canada",Unknown,,,,,
[P0305],"Outremont, Québec, Canada","Outremont, Québec, Canada",Unknown,,,,,
[P0306],Saint-Joseph,Saint-Joseph,Unknown,,,,,
[P0307],"St. Romain Catholic Church, Hemmingford, Quebec, Canada","St. Romain Catholic Church, Hemmingford, Quebec, Canada",Unknown,,,,,
[P0308],"Pomponne, Seine-et-Maritime, France","Pomponne, Seine-et-Maritime, France",Unknown,,,,,
[P0309],"Marne, Seine-et-Marne, Ile-de-France, France","Marne, Seine-et-Marne, Ile-de-France, France",Unknown,,,,,
[P0310],"Pomponne, Seine-et-Marne, Île-de-France, France","Pomponne, Seine-et-Marne, Île-de-France, France",Unknown,,,,,
[P0311],"Montréal, Montréal (Urban Agglomeration), Quebec, Canada","Montréal, Montréal (Urban Agglomeration), Quebec, Canada",Unknown,,,,,
[P0312],"Notre Dame de Montreal, Quebec","Notre Dame de Montreal, Quebec",Unknown,,,,,
[P0313],"ST Charles de Montreal, Quebec","ST Charles de Montreal, Quebec",Unknown,,,,,
[P0314],"St-Eugène, Québec","St-Eugène, Québec",Unknown,,,,,
[P0315],"St Elisabeth du Portugal, Montreal, Quebec, Canada","St Elisabeth du Portugal, Montreal, Quebec, Canada",Unknown,,,,,
[P0316],"Ville-Marie (Montréal), Québec, Canada, Nouvelle-France","Ville-Marie (Montréal), Québec, Canada, Nouvelle-France",Unknown,,,,,
[P0317],"Saint-Joseph, Montréal, Communauté-Urbaine-de-Montréal, Québec, Canada","Saint-Joseph, Montréal, Communauté-Urbaine-de-Montréal, Québec, Canada",Unknown,,,,,
[P0318],Montréal (Notre-Dame-de-Montréal),Montréal (Notre-Dame-de-Montréal),Unknown,,,,,
[P0319],"Notre-Dame-de-LaPrairie-de-la-Madeleine, La Prairie, Quebec, Canada","Notre-Dame-de-LaPrairie-de-la-Madeleine, La Prairie, Quebec, Canada",Unknown,,,,,
[P0320],Laprairie,Laprairie,Unknown,,,,,
[P0321],"Chambly, Quebec, Canada","Chambly, Quebec, Canada",Unknown,,,,,
[P0322],"Chambly, Québec, Nouvelle-France","Chambly, Québec, Nouvelle-France",Unknown,,,,,
[P0323],"Fort Chambly, La Vallée-du-Richelieu, Quebec, Canada","Fort Chambly, La Vallée-du-Richelieu, Quebec, Canada",Unknown,,,,,
[P0324],"Contrecoeur, Champlain, Quebec, Canada","Contrecoeur, Champlain, Quebec, Canada",Unknown,,,,,
[P0325],"Contrecoeur, Lajemmerais, Quebec, Canada","Contrecoeur, Lajemmerais, Quebec, Canada",Unknown,,,,,
[P0326],"Contrecoeur, Québec, Canada","Contrecoeur, Québec, Canada",Unknown,,,,,
[P0327],"Rivière-aux-renards, Gaspé, Québec, Canada","Rivière-aux-renards, Gaspé, Québec, Canada",Unknown,,,,,
[P0328],"St Mary Roughton, Norfolk, England","St Mary Roughton, Norfolk, England",Unknown,,,,,
[P0329],"Chute à Blondeau ,Prescott, Ontario, Canada","Chute à Blondeau ,Prescott, Ontario, Canada",Unknown,,,,,
[P0330],"Pointe-Claire, Québec, Canada","Pointe-Claire, Québec, Canada",Unknown,,,,,
[P0331],"Chalons, sur Marne, Champagne, France","Chalons, sur Marne, Champagne, France",Unknown,,,,,
[P0332],"Châlons,Marne,Champagne-Ardenne,France","Châlons,Marne,Champagne-Ardenne,France",Unknown,,,,,
[P0333],"Chalons, Saone-et-Loire, Bourgogne, France","Chalons, Saone-et-Loire, Bourgogne, France",Unknown,,,,,
[P0334],"Cempuis, Oise, France","Cempuis, Oise, France",Unknown,,,,,
[P0335],"d'Authieule, Picardie, France","d'Authieule, Picardie, France",Unknown,,,,,
[P0336],"Percé, Québec, Canada","Percé, Québec, Canada",Unknown,,,,,
[P0337],"Pomponne, Seine et Maritime, France","Pomponne, Seine et Maritime, France",Unknown,,,,,
[P0338],Montreal 5,Montreal 5,Unknown,,,,,
[P0339],Montreal 9,Montreal 9,Unknown,,,,,
[P0340],Pq,Pq,Unknown,,,,,
[P0341],Montreal 4,Montreal 4,Unknown,,,,,
[P0342],"Quebec, Québec","Quebec, Québec",Unknown,,,,,
[P0343],"St-Laurent, Québec","St-Laurent, Québec",Unknown,,,,,
[P0344],"St. Laurent, Île de Montréal, Québec, Canada","St. Laurent, Île de Montréal, Québec, Canada",Unknown,,,,,

Person,Surname,Given,Call,Suffix,Prefix,Title,Gender,Birth date,Birth place,Birth source,Baptism date,Baptism place,Baptism source,Death date,Death place,Death source,Burial date,Burial place,Burial source,Note
[I0226],,Andr,,,,,unknown,,,,,,,,,,,,,
[I0001],,Beaunre,,,,,male,,,,,,,,,,,,,
[I0225],,Claude,,,,,unknown,,,,,,,,,,,,,
[I0277],,Claude,,,,,unknown,,,,,,,,,,,,,
[I0425],,Inconnu,,,,,female,,,,,,,,,,,,,
[I0002],,K.c.,,,,,male,,,,,,,,,,,,,
[I0223],,Lucile,,,,,female,,,,,,,,,,,,,
[I0224],,Marcel,,,,,unknown,,,,,,,,,,,,,
[I0227],,Paul,,,,,male,1920-02-23,[P0097],"Ancestry.com, <i>Canada, Find a Grave Index, 1600s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",,,,2018-06-25,[P0097],"Ancestry.com, <i>Canada, Find a Grave Index, 1600s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",,[P0097],"Ancestry.com, <i>Canada, Find a Grave Index, 1600s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",
[I0160],Aliomet,Ancetre,,,,,male,1560,[P0088],,,,,,[P0088],,,,,
[I0161],Aliomet,End of the line    Mrs,,,,,female,,[P0088],,,,,,[P0088],,,,,
[I0318],Archambault,Anne,,,,,female,1610,[P0088],,,,,about 1671,,,,,,
[I0207],Barbier,Guillaume,,,,,male,1615,[P0138],,,,,18 FÉVR. 1678,[P0144],"Ancestry.com, <i>Global, Find a Grave Index for Burials at Sea and other Select Burial Locations, 1300s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",,[P0138],"Ancestry.com, <i>Global, Find a Grave Index for Burials at Sea and other Select Burial Locations, 1300s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",
[I0206],Barbier,Jeanne,,****,,,female,1649,[P0137],,,,,1689-11-10,[P0140],,,,,
[I0212],Barbier,Mathurin,,,,,unknown,,[P0088],"Ancestry.com, <i>Upper Brittany, France Births & Baptisms, 1501-1907</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2010).",22 JUIN 1584,[P0143],"Ancestry.com, <i>Upper Brittany, France Births & Baptisms, 1501-1907</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2010).",1678-09-17,[P0148],"Ancestry.com, <i>Upper Brittany, France Deaths & Burials, 1540-1971</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2010).",1678-09-17,[P0148],"Ancestry.com, <i>Upper Brittany, France Deaths & Burials, 1540-1971</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2010).",
[I0408],Beaulieu,Aldéric,,,,,male,1861-11-10,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0412],Beaulieu,Antoine,,,,,male,1892-06-13,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0416],Beaulieu,Aurore,,,,,female,1900-09-15,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0438],Beaulieu,Blanche (Marie Odila),,,,,female,19 AVRIL 1888,[P0201],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",20 AVRIL 1888,[P0203],"Ancestry.com, <i>Quebec, Canada, Vital and Church Records (Drouin Collection), 1621-1968</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2008).",,,,,,,
[I0415],Beaulieu,Eglantine,,,,,female,1885-03-23,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0410],Beaulieu,Emile,,,,,male,1890-08-07,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0417],Beaulieu,Florida,,,,,female,1884-04-20,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0411],Beaulieu,Harvey,,,,,male,1894-02-19,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0414],Beaulieu,Josepha,,,,,male,1896-11-05,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0413],Beaulieu,Yvonne,,,,,female,1893-12-09,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0420],Beaulieu dit Montpellier,François,,*,,,male,1785-10-19,[P0256],,,,,1846-09-22,[P0256],,,,,
[I0418],Beaulieu dit Montpellier,Jean-Baptiste,,,,,male,1827,[P0256],,,,,1900-10-03,,,,,,
[I0088],Boucher,Marie Amanda,,,,,female,24 MAI 1866,[P0050],,,,,,,,,,,
[I0259],Boucher,Marie Amanda,,,,,female,1866-05-24,[P0169],,,,,5 FÉV 1942,[P0170],,,,,
[I0202],Boudrias,Antoine,,,,,male,1780-01-24,[P0059],,,,,1831-04-13,[P0059],,,,,
[I0204],Boudrias,Antoine,,Fils,,,male,1702-03-25,[P0133],,,,,1781-05-12,[P0059],,,,,
[I0200],Boudrias,Charles (Antoine),,,,,male,1810-01-26,[P0059],,,,,1903-05-03,[P0129],,,,,
[I0203],Boudrias,Louis,,,,,male,1735-01-14,[P0132],,,,,1822-12-31,[P0059],,,,,
[I0197],Boudrias,Élisabeth,,,,,female,1840,[P0123],,,,,1920-12-01,[P0125],,,,,
[I0300],Boulerice,Therese (Marie),,,,,female,23 OCTOBRE 1730,[P0002],,,,,26 SEPTEMBRE 1806,[P0002],,,,,
[I0488],Bourdages,Fernande,,,,,female,17 AOÛT 1919,[P0289],,1919,[P0288],"Ancestry.com, <i>Quebec, Canada, Vital and Church Records (Drouin Collection), 1621-1968</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2008).",2/MAI/2008,[P0059],,,,,
[I0251],Caron,Damase,,,,,male,,,,,,,,,,,,,
[I0248],Caron,Marie Hélène,,,,,female,,,,,,,,,,,,,
[I0156],Cauconnet Rameau,Françoise,,,,,female,,[P0087],,,,,1750-04-20,[P0088],,,,,
[I0477],Chale,Véronique,,,,,female,1981-08-23,,,,,,,,,,,,
[I0479],Châle,Benoit,,,,,male,,,,,,,2020-10-17,[P0195],,,,,
[I0478],Châle,Laurence-Audrey,,,,,female,1988-12-28,,,,,,,,,,,,
[I0238],Clarke,Alfred,,,,,male,VERS 1903,,,,,,1972,,,,,,
[I0432],Clarke,M Bernadette Rollande,,,,,female,1925-08-23,[P0261],,26 AOÛT 1925,[P0263],"Ancestry.com, <i>Quebec, Canada, Vital and Church Records (Drouin Collection), 1621-1968</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2008).",1995-04-04,[P0197],,7 APR,[P0262],,
[I0255],Cote,Herminie (Marie Hermine),,,,,female,21 MAI 1858,[P0002],,,,,17 AVRIL 1895,[P0002],,,,,
[I0363],Cote,Herminie (Marie Hermine),,,,,female,about 1861,[P0014],,,,,20 JUIN 1933,[P0002],,,,,
[I0365],Courault,Marie Anne,,,,,female,1689,[P0071],"Ancestry.com, <i>Canada, Find a Grave Index, 1600s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",,,,1778-11-30,[P0002],,,[P0097],"Ancestry.com, <i>Canada, Find a Grave Index, 1600s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",
[I0419],Crevier,Zoé,,,,,female,2 FÉVRIER 1829,[P0257],,,,,1 MARS 1900,[P0203],,,,,
[I0328],Côté,Herminie (Marie Hermine),,,,,female,about 1854,[P0014],"Ancestry.com, <i>1921 Census of Canada</i> (Provo, UT, USA: Ancestry.com Operations Inc, 2013).",,,,20 JUIN 1933,[P0210],,,,,
[I0100],Decarie,Marie-Louise,,,,,female,1769-12-15,[P0002],,,,,1855-03-24,[P0002],,,,,
[I0407],Desjardins,Adrien,,,,,male,1874-03-30,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0403],Desjardins,Alexxandrin,,,,,female,1872-04-09,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0463],Desjardins,Alixe,,,,,female,1846-03-18,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0464],Desjardins,Bernadette,,,,,female,1881-03-06,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0405],Desjardins,Congaque,,,,,male,1884-05-21,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0462],Desjardins,Damase,,,,,male,1848-06-20,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0404],Desjardins,Henrie,,,,,male,1886-02-09,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0406],Desjardins,Mathias,,,,,male,1892-06-02,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0465],Desjardins,Teodor,,,,,male,1884-06-24,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0475],Desormeaux,Linda,,,,,female,,,,,,,,,,,,,
[I0461],Deyareline,Marie Anne,,,,,female,1878-04-02,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0433],Diane,Guy,,,,,female,,,,,,,,,,,,,
[I0485],Dorion,Pauline,,,,,female,1897-05-14,,"Ancestry.com, <i>Canada, Find a Grave Index, 1600s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",,,,1987-03-30,[P0054],"Ancestry.com, <i>Canada, Newspapers.com Obituary Index, 1800s-current</i> (Lehi, UT, USA: Ancestry.com Operations Inc, n.d.).",,[P0097],"Ancestry.com, <i>Canada, Find a Grave Index, 1600s-Current</i> (Lehi, UT, USA: Ancestry.com Operations, Inc., 2012).",
[I0217],Dunn,Marie Louise,,,,,female,1811-03-25,[P0043],,,,,1891-07-01,[P0043],,,,,
[I0193],Dye,Elizabeth,,,,,female,,,,,,,about 1811,,"Ancestry.com, <i>England, Select Deaths and Burials, 1538-1991</i> (Provo, UT, USA: Ancestry.com Operations, Inc., 2014).",1811-11-21,[P0120],"Ancestry.com, <i>England, Select Deaths and Burials, 1538-1991</i> (Provo, UT, USA: Ancestry.com Operations, Inc., 2014).",
[I0215],Erdmann . 11th ggm,Fredericka,,,,,female,about 1570,[P0151],,,,,1652,[P0152],,,,,
[I0466],Ethier,Bernadette,,,,,female,about 1874,[P0072],"Ancestry.com, <i>1901 Census of Canada</i> (Lehi, UT, USA: Ancestry.com Operations Inc, 2006).",,,,,,,,,,
[I0055],FILION,Alexis Alexandre,,,,,male,1829-03-20,[P0019],,,,,1836-01-27,[P0026],,,,,
[I0115],FILION,Alexis Alexandre,,,,,male,1829-03-20,[P0019],,,,,1836-01-27,[P0026],,,,,
[I0059],FILION,Alphonse,,,,,male,1844-09-13,[P0022],,,,,1844-09-29,[P0022],,,,,
[I0118],FILION,Alphonse,,,,,male,1844-09-13,[P0022],,,,,1844-09-29,[P0022],,,,,
[I0061],FILION,Eulalie Eudalie,,,,,female,1827-12-03,[P0019],,,,,1902-06-30,[P0032],,,,,
[I0120],FILION,Eulalie Eudalie,,,,,female,1827-12-03,[P0019],,,,,1902-06-30,[P0032],,,,,
[I0048],FILION,Flavie,,,,,female,1820-08-05,[P0019],,,,,1821-09-22,[P0019],,,,,
[I0049],FILION,Flavie,,,,,female,1823-02-26,[P0019],,,,,,,,,,,
[I0069],FILION,Flavie,,,,,female,1820-08-05,[P0019],,,,,1821-09-22,[P0019],,,,,
[I0112],FILION,Flavie,,,,,female,1823-02-26,[P0019],,,,,1826-08-11,[P0066],,,,,
[I0060],FILION,Hedwidge,,,,,female,1846-02-28,[P0022],,,,,1855-01-22,[P0023],,,,,
[I0119],FILION,Hedwidge,,,,,female,1846-02-28,[P0022],,,,,1855-01-22,[P0023],,,,,
[I0058],FILION,Joseph,,,,,male,1843-05-23,[P0026],,,,,,,,,,,
[I0056],FILION,Joseph Alfred,,,,,male,1834-03-17,[P0026],,,,,,,,,,,
[I0116],FILION,Joseph Alfred,,,,,male,1834-03-17,[P0026],,,,,1834-11-02,[P0067],,,,,
[I0050],FILION,Joseph Olivier,,,,,male,about 1819-04-00,[P0021],,,,,1819-08-14,[P0019],,,,,
[I0113],FILION,Joseph Olivier,,,,,male,about 1819-04-00,[P0021],,,,,1819-08-14,[P0019],,,,,
[I0051],FILION,Marie,,,,,female,1826-04-29,[P0019],,,,,1826-06-16,[P0019],,,,,
[I0052],FILION,Marie,,,,,female,about 1822,[P0021],,,,,1826-08-11,[P0019],,,,,
[I0053],FILION,Marie,,,,,female,about 1830-07-00,[P0021],,,,,1830-08-10,[P0019],,,,,
[I0064],FILION,Marie,,,,,female,about 1830-07-00,[P0021],,,,,1830-08-10,[P0019],,,,,
[I0122],FILION,Marie,,,,,female,about 1822,[P0021],,,,,1826-08-11,[P0019],,,,,
[I0123],FILION,Marie,,,,,female,1826-04-29,[P0019],,,,,1826-06-16,[P0019],,,,,
[I0062],FILION,Marie Leocadie,,,,,female,1831-07-07,[P0036],,,,,1897-04-22,[P0023],,,,,
[I0065],FILION,Marie Leocadie,,,,,female,1831-07-07,[P0036],,,,,1897-04-22,[P0023],,,,,
[I0054],FILION,Marie Lina,,,,,female,1833-01-07,[P0026],,,,,1834-10-26,[P0036],,,,,
[I0114],FILION,Marie Lina,,,,,female,1833-01-07,[P0026],,,,,1834-10-26,[P0036],,,,,
[I0057],FILION,Philomene,,,,,female,1840-10-13,[P0026],,,,,1856-02-19,[P0032],,,,,
[I0117],FILION,Philomene,,,,,female,1840-10-13,[P0026],,,,,1856-02-19,[P0032],,,,,
[I0047],FILION,Pierre Maxime,,,,,male,1819-08-25,[P0019],,,,,,,,,,,
[I0068],FILION,Pierre Maxime,,,,,male,1819-08-25,[P0019],,,,,1819-08-14,[P0038],,,,,
[I0041],FILION FELLION,Pierre Marie,,,,,male,1794-02-01,[P0017],,,,,1857-06-13,[P0032],,,,,
[I0043],FILION FELLION,Theophile Peter,,,,,male,1821-10-07,[P0019],,,,,about 1880,[P0034],,,,,
[I0046],Fellion,Emilie Amelia Marie,,,,,female,1839-04-09,[P0026],,,,,1893-11-23,[P0034],,,,,
[I0067],Fellion,Emilie Amelia Marie,,,,,female,1839-04-09,[P0026],,,,,1893-11-23,[P0034],,,,,
[I0044],Fellion,Paul Jean Baptiste,,,,,male,1835-05-16,[P0026],,,,,1861-08-02,[P0035],,,,,
[I0121],Fellion,Paul Jean Baptiste,,,,,male,1835-05-16,[P0026],,,,,1861-08-02,[P0035],,,,,
[I0127],Fellion\dit Filion,Theophile Peter,,,,,male,1821-10-07,[P0066],,,,,after 1880,[P0034],,,,,
[I0063],Fileau,Peter,,,,,male,about 1820,[P0037],,,,,about 1881-10-23,[P0034],,,,,
[I0045],Filion,Marie,,,,,female,1825-04-17,[P0019],,,,,1825-08-07,[P0019],,,,,
[I0066],Filion,Marie,,,,,female,1825-04-17,[P0019],,,,,1825-08-07,[P0019],,,,,
[I0125],Filion,Marie Olive,,,,,female,1827-12-03,[P0038],,,,,,,,,,,
[I0126],Filion,Onèsime,,,,,male,1830-06-29,[P0038],,,,,1830-08-10,[P0038],,,,,
[I0028],Filion Felion,Justine,,,,,female,1824-04-22,[P0019],,,,,1891-04-06,[P0020],,,,,
[I0124],Fillion,Amelia or Emilie,,,,,female,1840,[P0068],,,,,1893-11-25,[P0069],,,,,
[I0172],Gadois,Etienne,,,,,male,1631-11-17,[P0100],,,,,1632,[P0100],,,,,
[I0173],Gadois,Francois,,,,,female,1636-12-02,[P0101],,,,,1666,[P0102],,,,,
[I0165],Gadois,François,,,,,male,1636-02-00,[P0092],,,,,1666,[P0092],,,,,
[I0170],Gadois,Jean-Baptiste,,,,,male,1641-03-02,[P0098],,,,,1728-04-15,[P0097],,,,,
[I0168],Gadois,Jeanne,,,,,female,1638-06-26,[P0092],,,,,1638-06-26,[P0092],,,,,
[I0167],Gadois,Joseph,,,,,male,1639-09-28,[P0095],,,,,1639-10-00,[P0068],,,,,
[I0174],Gadois,Marie Francoise,,,,,female,1627,[P0103],,,,,1689-12-24,[P0104],,,,,
[I0175],Gadois,Marie-Roberte,,,,,female,1628-09-15,[P0105],,,,,1716-09-14,[P0002],,,,,
